date,currency,fx_rate_to_krw,source
2026-01-04,USD,1350.2,KB
2026-01-05,USD,1348.7,KB
2026-01-06,USD,1352.1,KB
2026-01-07,USD,1349.5,KB






date,currency,fx_rate_to_krw,source
2026-01-04,USD,1350.2,KB
2026-01-05,USD,1348.7,KB
2026-01-06,USD,1352.1,KB
2026-01-07,USD,1349.5,KB






date,currency,fx_rate_to_krw,source
2026-01-04,USD,1350.2,KB
2026-01-05,USD,1348.7,KB
2026-01-06,USD,1352.1,KB
2026-01-07,USD,1349.5,KB






date,currency,fx_rate_to_krw,source
2026-01-04,USD,1350.2,KB
2026-01-05,USD,1348.7,KB
2026-01-06,USD,1352.1,KB
2026-01-07,USD,1349.5,KB






date,currency,fx_rate_to_krw,source
2026-01-04,USD,1350.2,KB
2026-01-05,USD,1348.7,KB
2026-01-06,USD,1352.1,KB
2026-01-07,USD,1349.5,KB
















date,currency,fx_rate_to_krw,source
2026-01-04,USD,1350.2,KB
2026-01-05,USD,1348.7,KB
2026-01-06,USD,1352.1,KB
2026-01-07,USD,1349.5,KB






date,currency,fx_rate_to_krw,source
2026-01-04,USD,1350.2,KB
2026-01-05,USD,1348.7,KB
2026-01-06,USD,1352.1,KB
2026-01-07,USD,1349.5,KB






date,currency,fx_rate_to_krw,source
2026-01-04,USD,1350.2,KB
2026-01-05,USD,1348.7,KB
2026-01-06,USD,1352.1,KB
2026-01-07,USD,1349.5,KB






date,currency,fx_rate_to_krw,source
2026-01-04,USD,1350.2,KB
2026-01-05,USD,1348.7,KB
2026-01-06,USD,1352.1,KB
2026-01-07,USD,1349.5,KB






date,currency,fx_rate_to_krw,source
2026-01-04,USD,1350.2,KB
2026-01-05,USD,1348.7,KB
2026-01-06,USD,1352.1,KB
2026-01-07,USD,1349.5,KB





















