recommendation_id,date,recommender_id,target_id,reason,linked_event_id
RECO-0003,2026-01-04,P05,P07,INDIRECT,E-2026-01-002
RECO-0005,2026-01-08,P01,P11,INDIRECT,E-2026-01-005






recommendation_id,date,recommender_id,target_id,reason,linked_event_id
RECO-0003,2026-01-04,P05,P07,INDIRECT,E-2026-01-002
RECO-0005,2026-01-08,P01,P11,INDIRECT,E-2026-01-005






recommendation_id,date,recommender_id,target_id,reason,linked_event_id
RECO-0003,2026-01-04,P05,P07,INDIRECT,E-2026-01-002
RECO-0005,2026-01-08,P01,P11,INDIRECT,E-2026-01-005






recommendation_id,date,recommender_id,target_id,reason,linked_event_id
RECO-0003,2026-01-04,P05,P07,INDIRECT,E-2026-01-002
RECO-0005,2026-01-08,P01,P11,INDIRECT,E-2026-01-005






recommendation_id,date,recommender_id,target_id,reason,linked_event_id
RECO-0003,2026-01-04,P05,P07,INDIRECT,E-2026-01-002
RECO-0005,2026-01-08,P01,P11,INDIRECT,E-2026-01-005
















recommendation_id,date,recommender_id,target_id,reason,linked_event_id
RECO-0003,2026-01-04,P05,P07,INDIRECT,E-2026-01-002
RECO-0005,2026-01-08,P01,P11,INDIRECT,E-2026-01-005






recommendation_id,date,recommender_id,target_id,reason,linked_event_id
RECO-0003,2026-01-04,P05,P07,INDIRECT,E-2026-01-002
RECO-0005,2026-01-08,P01,P11,INDIRECT,E-2026-01-005






recommendation_id,date,recommender_id,target_id,reason,linked_event_id
RECO-0003,2026-01-04,P05,P07,INDIRECT,E-2026-01-002
RECO-0005,2026-01-08,P01,P11,INDIRECT,E-2026-01-005






recommendation_id,date,recommender_id,target_id,reason,linked_event_id
RECO-0003,2026-01-04,P05,P07,INDIRECT,E-2026-01-002
RECO-0005,2026-01-08,P01,P11,INDIRECT,E-2026-01-005






recommendation_id,date,recommender_id,target_id,reason,linked_event_id
RECO-0003,2026-01-04,P05,P07,INDIRECT,E-2026-01-002
RECO-0005,2026-01-08,P01,P11,INDIRECT,E-2026-01-005





















